antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Hail,"Rain, Fog, Precipitation, Storm, Snow, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Cold","Rain, Fog, Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Snow","Rain, Fog, Precipitation, Storm, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Rain, Fog, Precipitation, Storm, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Fog, Hail","Rain, Precipitation, Storm, Snow, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Snow, Cold","Rain, Precipitation, Storm, Fog",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail","Fog, Precipitation, Storm, Snow, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail, Fog, Cold","Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Fog, Hail, Snow, Cold","Rain, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail","Precipitation, Storm, Snow, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail, Cold","Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Fog, Hail, Cold","Rain, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Fog, Hail","Precipitation, Storm, Snow, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail, Cold","Fog, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail","Fog, Precipitation, Storm, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Cold","Rain, Precipitation, Storm, Fog",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Rain, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Snow, Cold","Rain, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Rain, Precipitation, Storm, Snow, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Rain, Fog, Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Cold","Rain, Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail, Fog","Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Fog, Hail, Cold","Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail","Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Rain, Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Snow","Rain, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Cold","Fog, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Fog, Precipitation, Storm, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Fog, Hail, Snow","Rain, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail, Snow","Fog, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Snow","Rain, Precipitation, Storm, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Snow","Rain, Precipitation, Storm, Fog",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Fog, Hail","Rain, Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail","Fog, Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Precipitation, Storm, Snow, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Cold","Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Rain, Precipitation, Storm, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Cold","Rain, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail","Fog, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Rain, Precipitation, Storm, Fog",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Fog, Hail","Rain, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Fog, Hail","Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Fog, Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail, Snow","Fog, Precipitation, Storm, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail, Snow, Cold","Fog, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail, Cold","Fog, Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Snow","Fog, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Fog, Hail, Snow","Rain, Precipitation, Storm, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Rain, Hail, Fog","Precipitation, Storm, Snow, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Fog, Hail, Cold","Rain, Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Snow","Fog, Precipitation, Storm, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Cold","Fog, Precipitation, Storm, Snow",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Fog, Precipitation, Storm, Snow, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Snow, Cold","Fog, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
Hail,"Fog, Precipitation, Storm",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Fog, Hail","Rain, Precipitation, Storm, Cold",0.20408163265306123,0.7959183673469388,0.20408163265306123,1.0,1.2564102564102564,1.0,0.041649312786339016,inf,0.25641025641025633,0.25641025641025644,1.0,0.6282051282051282
"Hail, Cold","Precipitation, Storm",0.20408163265306123,0.8163265306122449,0.20408163265306123,1.0,1.2249999999999999,1.0,0.03748438150770511,inf,0.23076923076923067,0.25,1.0,0.625
Hail,"Precipitation, Storm, Cold",0.20408163265306123,0.8163265306122449,0.20408163265306123,1.0,1.2249999999999999,1.0,0.03748438150770511,inf,0.23076923076923067,0.25,1.0,0.625
"Rain, Snow, Hail, Fog","Precipitation, Storm, Cold",0.20408163265306123,0.8163265306122449,0.20408163265306123,1.0,1.2249999999999999,1.0,0.03748438150770511,inf,0.23076923076923067,0.25,1.0,0.625
"Rain, Hail","Precipitation, Storm, Cold",0.20408163265306123,0.8163265306122449,0.20408163265306123,1.0,1.2249999999999999,1.0,0.03748438150770511,inf,0.23076923076923067,0.25,1.0,0.625
"Rain, Hail","Precipitation, Storm",0.20408163265306123,0.8163265306122449,0.20408163265306123,1.0,1.2249999999999999,1.0,0.03748438150770511,inf,0.23076923076923067,0.25,1.0,0.625
